modelo,cilindrada,potencia,combustible,revoluciones,cilindros,longitud,ancho,altura,maletero,peso,plazas,velocidad,poca_aceleracion,traccion,consumo,coste.Km,precio,marca,precio_categ
'BENTLEY-Mulsanne S',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(143,200]","Malet_(500,700]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",21110,BENTLEY,luxury
'BENTLEY-Turbo R',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(143,200]","Malet_(500,700]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(200,220]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",25003,BENTLEY,luxury
'BERTONE-Freeclimber',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_6,"Long_(400,430]","Anch_(160,168]","Alt_(143,200]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(110,170]","Acel_(13.5,25]",4x4,"Cons_(11.3,20]","Cost_(13.5,15]",3633,BERTONE,expensive
'BMW-316i',"Cil_(1.5e+03,1.8e+03]","Pot_(75,105]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(170,185]","Acel_(11,13.5]",Trasera,"Cons_(9.5,11.3]","Cost_(13.5,15]",2374,BMW,medium
'BMW-318i',"Cil_(1.5e+03,1.8e+03]","Pot_(105,130]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_4,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(11,13.5]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",2959,BMW,medium
'BMW-318i S',"Cil_(1.5e+03,1.8e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Trasera,"Cons_(7.6,8.5]","Cost_(13.5,15]",2774,BMW,medium
'BMW-320i',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_5,"Vel_(185,200]","Acel_(9.7,11]",Trasera,"Cons_(8.5,9.5]","Cost_(13.5,15]",3009,BMW,expensive
'BMW-320i Cabriolet',"Cil_(1.8e+03,2e+03]","Pot_(105,130]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_4,"Vel_(185,200]","Acel_(9.7,11]",Trasera,"Cons_(8.5,9.5]","Cost_(13.5,15]",4454,BMW,expensive
'BMW-324 TD Touring',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(185,200]","Acel_(11,13.5]",Trasera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",4445,BMW,expensive
'BMW-325i 4p',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(168,170]","Alt_(136,139]","Malet_(400,450]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",4279,BMW,expensive
'BMW-325i Cabriolet',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_4,"Vel_(200,220]","Acel_(8.3,9.7]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",5214,BMW,luxury
'BMW-325iX',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(430,450]","Anch_(160,168]","Alt_(139,141]","Malet_(400,450]","Pes_(1.2e+03,1.4e+03]",Plaz_5,"Vel_(200,220]","Acel_(8.3,9.7]",4x4,"Cons_(11.3,20]","Cost_(17.5,30]",4949,BMW,expensive
'BMW-520i',"Cil_(1.8e+03,2e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(450,480]","Anch_(170,175]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(200,220]","Acel_(9.7,11]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",4019,BMW,expensive
'BMW-524 TD',"Cil_(2e+03,2.6e+03]","Pot_(105,130]",Diesel,"Rev_(3.8e+03,5e+03]",Ncil_6,"Long_(450,480]","Anch_(170,175]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(185,200]","Acel_(11,13.5]",Trasera,"Cons_(4.5,7.6]","Cost_(6.5,11.5]",4399,BMW,expensive
'BMW-525i',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(450,480]","Anch_(170,175]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(8.3,9.7]",Trasera,"Cons_(8.5,9.5]","Cost_(13.5,15]",5144,BMW,luxury
'BMW-535i',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_6,"Long_(450,480]","Anch_(170,175]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",6139,BMW,luxury
'BMW-730i',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(480,550]","Anch_(175,200]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(8.3,9.7]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",6259,BMW,luxury
'BMW-735i',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5.5e+03,5.7e+03]",Ncil_6,"Long_(480,550]","Anch_(175,200]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",7829,BMW,luxury
'BMW-750i',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_8,"Long_(480,550]","Anch_(175,200]","Alt_(139,141]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",10479,BMW,luxury
'BMW-850i',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(5e+03,5.5e+03]",Ncil_8,"Long_(450,480]","Anch_(175,200]","Alt_(110,136]","Malet_(280,400]","Pes_(1.4e+03,2.5e+03]",Plaz_5,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",12529,BMW,luxury
'BMW-M3',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_4,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",6979,BMW,luxury
'BMW-M3 Cabrio',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(280,400]","Pes_(1.2e+03,1.4e+03]",Plaz_4,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",9829,BMW,luxury
'BMW-M3 Sport Evolucion',"Cil_(2e+03,2.6e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_4,"Long_(430,450]","Anch_(160,168]","Alt_(136,139]","Malet_(400,450]","Pes_(1e+03,1.2e+03]",Plaz_4,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",8429,BMW,luxury
'BMW-M5',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(6e+03,7.5e+03]",Ncil_6,"Long_(450,480]","Anch_(170,175]","Alt_(136,139]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_4,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(11.3,20]","Cost_(17.5,30]",9829,BMW,luxury
'BMW-Z-1',"Cil_(2e+03,2.6e+03]","Pot_(130,180]",Gasolina,"Rev_(5.7e+03,6e+03]",Ncil_6,"Long_(300,400]","Anch_(168,170]","Alt_(110,136]","Malet_[0,280]","Pes_(1.2e+03,1.4e+03]",Plaz_2,"Vel_(220,350]","Acel_(4.5,8.3]",Trasera,"Cons_(9.5,11.3]","Cost_(15,17.5]",8529,BMW,luxury
'CADILLAC-Allant�',"Cil_(2.6e+03,8e+03]","Pot_(180,500]",Gasolina,"Rev_(3.8e+03,5e+03]",Ncil_8,"Long_(450,480]","Anch_(175,200]","Alt_(110,136]","Malet_(450,500]","Pes_(1.4e+03,2.5e+03]",Plaz_2,"Vel_(200,220]","Acel_(8.3,9.7]",Delantera,"Cons_(11.3,20]","Cost_(17.5,30]",11700,CADILLAC,luxury
